日期,月份,品項,金額,分類
2026-06-27,2026-06,吃飯200,200,餐飲食品
2026-06-27,2026-06,喝水17,17,餐飲食品
2026-06-27,2026-06,鞋子5000,5000,美妝娛樂
2026-06-27,2026-06,跳舞200,200,運動休閒
2026-06-27,2026-06,燙頭髮，3200,3200,美妝娛樂
2026-06-27,2026-06,搭車月票1200,1200,交通運輸
2026-06-27,2026-06,晚餐620,620,餐飲食品
2026-06-27,2026-06,星巴克80,80,餐飲食品
2026-06-27,2026-06,停車費20,20,交通運輸
2026-06-27,2026-06,加油100,100,其他
2026-06-28,2026-06,跟阿賢吃中餐350,350,餐飲食品
2026-06-29,2026-06,屈臣氏140,140,美妝娛樂
2026-06-29,2026-06,吃飯服務費50,50,餐飲食品
2026-06-29,2026-06,中餐160,160,餐飲食品
2026-06-29,2026-06,晚餐160,160,餐飲食品
2026-06-29,2026-06,手搖飲75,75,餐飲食品
2026-06-30,2026-06,晚餐74,74,餐飲食品
2026-07-01,2026-07,早餐20,20,餐飲食品
2026-07-01,2026-07,午餐428,428,餐飲食品
2026-07-01,2026-07,晚餐350,350,餐飲食品
2026-07-03,2026-07,星巴克70,70,餐飲食品
2026-07-04,2026-07,外國人招呼1700,1700,其他
2026-07-06,2026-07,早餐100,100,餐飲食品
2026-07-08,2026-07,美妝693,693,其他
2026-07-08,2026-07,午餐150,150,餐飲食品
2026-07-09,2026-07,午餐55,55,餐飲食品
2026-07-09,2026-07,晚餐275,275,餐飲食品
2026-07-10,2026-07,水15,15,餐飲食品
